Test,Resultado
Kolmogorov_Smirnov_MTOREV,"['Cumple', 7.82799114207311e-06, 1.0]"
Mann_Whitney_MTOREV,"['Cumple', 3087722201550.5, 0.9950578062355421]"
Kolmogorov_Smirnov_SALMD,"['Cumple', 0.0013133521300898472, 0.41368197105958027]"
Mann_Whitney_SALMD,"['No cumple', 411564500510.5, 2.514248769429729e-06]"
Kolmogorov_Smirnov_GASTO,"['Cumple', 0.00020811327687997316, 0.9999999781510335]"
Mann_Whitney_GASTO,"['Cumple', 4067435878044.5, 0.673379873133851]"
Kolmogorov_Smirnov_ULTXCO,"['Cumple', 0.0, 1.0]"
Mann_Whitney_ULTXCO,"['Cumple', 2850251302382.0, 1.0]"
Kolmogorov_Smirnov_MTOVENC,"['Cumple', 0.000700413714716297, 0.485888419712187]"
Mann_Whitney_MTOVENC,"['Cumple', 4065536614174.0, 0.1733179811086364]"
Kolmogorov_Smirnov_TASAINT,"['No cumple', 0.005865404493531123, 1.6544026819967021e-40]"
Mann_Whitney_TASAINT,"['No cumple', 3589420254157.0, 6.406484047016319e-07]"
Kolmogorov_Smirnov_SPROM,"['No cumple', 0.0031696446409908985, 0.00021844715595412782]"
Mann_Whitney_SPROM,"['Cumple', 412613876675.0, 0.07254269011584882]"
Kolmogorov_Smirnov_MTOCAST,"['Cumple', 0.0005790794089005624, 0.7249993203779721]"
Mann_Whitney_MTOCAST,"['Cumple', 4070096759792.0, 0.3589258163150938]"
Kolmogorov_Smirnov_CONTINGENTE,"['Cumple', 0.0006766095907069225, 0.8524864791009314]"
Mann_Whitney_CONTINGENTE,"['Cumple', 1308047177614.0, 0.34061324045245256]"
