Test,Resultado
Outliers segun Isolation,0.09999967097434367
Outliers con probabilidad de 0.0,1.0
Outliers con probabilidad de 0.010101010101010102,1.0
Outliers con probabilidad de 0.020202020202020204,1.0
Outliers con probabilidad de 0.030303030303030304,1.0
Outliers con probabilidad de 0.04040404040404041,1.0
Outliers con probabilidad de 0.05050505050505051,1.0
Outliers con probabilidad de 0.06060606060606061,1.0
Outliers con probabilidad de 0.07070707070707072,1.0
Outliers con probabilidad de 0.08080808080808081,1.0
Outliers con probabilidad de 0.09090909090909091,1.0
Outliers con probabilidad de 0.10101010101010102,1.0
Outliers con probabilidad de 0.11111111111111112,1.0
Outliers con probabilidad de 0.12121212121212122,1.0
Outliers con probabilidad de 0.13131313131313133,1.0
Outliers con probabilidad de 0.14141414141414144,1.0
Outliers con probabilidad de 0.15151515151515152,1.0
Outliers con probabilidad de 0.16161616161616163,1.0
Outliers con probabilidad de 0.17171717171717174,1.0
Outliers con probabilidad de 0.18181818181818182,1.0
Outliers con probabilidad de 0.19191919191919193,1.0
Outliers con probabilidad de 0.20202020202020204,1.0
Outliers con probabilidad de 0.21212121212121213,1.0
Outliers con probabilidad de 0.22222222222222224,1.0
Outliers con probabilidad de 0.23232323232323235,1.0
Outliers con probabilidad de 0.24242424242424243,1.0
Outliers con probabilidad de 0.25252525252525254,1.0
Outliers con probabilidad de 0.26262626262626265,1.0
Outliers con probabilidad de 0.27272727272727276,1.0
Outliers con probabilidad de 0.2828282828282829,1.0
Outliers con probabilidad de 0.29292929292929293,1.0
Outliers con probabilidad de 0.30303030303030304,1.0
Outliers con probabilidad de 0.31313131313131315,1.0
Outliers con probabilidad de 0.32323232323232326,1.0
Outliers con probabilidad de 0.33333333333333337,0.915758464459197
Outliers con probabilidad de 0.3434343434343435,0.7098004678744833
Outliers con probabilidad de 0.3535353535353536,0.6319288690401115
Outliers con probabilidad de 0.36363636363636365,0.5915541307526023
Outliers con probabilidad de 0.37373737373737376,0.5700259820593278
Outliers con probabilidad de 0.38383838383838387,0.555747365327057
Outliers con probabilidad de 0.393939393939394,0.537629019185486
Outliers con probabilidad de 0.4040404040404041,0.4455698340504265
Outliers con probabilidad de 0.4141414141414142,0.37064849860109256
Outliers con probabilidad de 0.42424242424242425,0.3193577857889432
Outliers con probabilidad de 0.43434343434343436,0.2809835234918835
Outliers con probabilidad de 0.4444444444444445,0.246297638802215
Outliers con probabilidad de 0.4545454545454546,0.2156412216503269
Outliers con probabilidad de 0.4646464646464647,0.1893465879491063
Outliers con probabilidad de 0.4747474747474748,0.16801804815400156
Outliers con probabilidad de 0.48484848484848486,0.15160405491218854
Outliers con probabilidad de 0.494949494949495,0.137960457696623
Outliers con probabilidad de 0.5050505050505051,0.12439911689513843
Outliers con probabilidad de 0.5151515151515152,0.1095677370602435
Outliers con probabilidad de 0.5252525252525253,0.09553479281802797
Outliers con probabilidad de 0.5353535353535354,0.08277298436141055
Outliers con probabilidad de 0.5454545454545455,0.07049265011521381
Outliers con probabilidad de 0.5555555555555556,0.06011518091475713
Outliers con probabilidad de 0.5656565656565657,0.05121503691119488
Outliers con probabilidad de 0.5757575757575758,0.04410040546928381
Outliers con probabilidad de 0.5858585858585859,0.03814723459419621
Outliers con probabilidad de 0.595959595959596,0.03298591879866152
Outliers con probabilidad de 0.6060606060606061,0.028236981825719498
Outliers con probabilidad de 0.6161616161616162,0.023771006917216047
Outliers con probabilidad de 0.6262626262626263,0.019753603653500887
Outliers con probabilidad de 0.6363636363636365,0.015612267392570382
Outliers con probabilidad de 0.6464646464646465,0.01217504603617308
Outliers con probabilidad de 0.6565656565656566,0.009151300254556183
Outliers con probabilidad de 0.6666666666666667,0.006486192438332366
Outliers con probabilidad de 0.6767676767676768,0.00437055746816951
Outliers con probabilidad de 0.686868686868687,0.002764912265308741
Outliers con probabilidad de 0.696969696969697,0.001468551179392465
Outliers con probabilidad de 0.7070707070707072,0.0007282434526636272
Outliers con probabilidad de 0.7171717171717172,0.0005023125019878634
Outliers con probabilidad de 0.7272727272727273,0.00033231591288716725
Outliers con probabilidad de 0.7373737373737375,0.0001403842800315426
Outliers con probabilidad de 0.7474747474747475,5.264410501182847e-05
Outliers con probabilidad de 0.7575757575757577,0.0
Outliers con probabilidad de 0.7676767676767677,0.0
Outliers con probabilidad de 0.7777777777777778,0.0
Outliers con probabilidad de 0.787878787878788,0.0
Outliers con probabilidad de 0.797979797979798,0.0
Outliers con probabilidad de 0.8080808080808082,0.0
Outliers con probabilidad de 0.8181818181818182,0.0
Outliers con probabilidad de 0.8282828282828284,0.0
Outliers con probabilidad de 0.8383838383838385,0.0
Outliers con probabilidad de 0.8484848484848485,0.0
Outliers con probabilidad de 0.8585858585858587,0.0
Outliers con probabilidad de 0.8686868686868687,0.0
Outliers con probabilidad de 0.8787878787878789,0.0
Outliers con probabilidad de 0.888888888888889,0.0
Outliers con probabilidad de 0.8989898989898991,0.0
Outliers con probabilidad de 0.9090909090909092,0.0
Outliers con probabilidad de 0.9191919191919192,0.0
Outliers con probabilidad de 0.9292929292929294,0.0
Outliers con probabilidad de 0.9393939393939394,0.0
Outliers con probabilidad de 0.9494949494949496,0.0
Outliers con probabilidad de 0.9595959595959597,0.0
Outliers con probabilidad de 0.9696969696969697,0.0
Outliers con probabilidad de 0.9797979797979799,0.0
Outliers con probabilidad de 0.98989898989899,0.0
Outliers con probabilidad de 1.0,0.0
